mpiexec -n 50 DS_Exercise01.4
rank 33 pi : 3.14159265358973094350858445978
rank 7 pi : 3.14159265358973094350858445978
rank 39 pi : 3.14159265358973094350858445978
rank 9 pi : 3.14159265358973094350858445978
rank 11 pi : 3.14159265358973094350858445978
rank 10 pi : 3.14159265358973094350858445978
rank 15 pi : 3.14159265358973094350858445978
rank 23 pi : 3.14159265358973094350858445978
rank 49 pi : 3.14159265358973094350858445978
rank 48 pi : 3.14159265358973094350858445978
rank 29 pi : 3.14159265358973094350858445978
rank 2 pi : 3.14159265358973094350858445978
rank 3 pi : 3.14159265358973094350858445978
rank 25 pi : 3.14159265358973094350858445978
rank 21 pi : 3.14159265358973094350858445978
rank 31 pi : 3.14159265358973094350858445978
rank 27 pi : 3.14159265358973094350858445978
rank 30 pi : 3.14159265358973094350858445978
rank 26 pi : 3.14159265358973094350858445978
rank 19 pi : 3.14159265358973094350858445978
rank 43 pi : 3.14159265358973094350858445978
rank 18 pi : 3.14159265358973094350858445978
rank 42 pi : 3.14159265358973094350858445978
rank 22 pi : 3.14159265358973094350858445978
rank 24 pi : 3.14159265358973094350858445978
rank 28 pi : 3.14159265358973094350858445978
rank 13 pi : 3.14159265358973094350858445978
rank 20 pi : 3.14159265358973094350858445978
rank 38 pi : 3.14159265358973094350858445978
rank 1 pi : 3.14159265358973094350858445978
rank 37 pi : 3.14159265358973094350858445978
rank 41 pi : 3.14159265358973094350858445978
rank 36 pi : 3.14159265358973094350858445978
rank 16 pi : 3.14159265358973094350858445978
rank 17 pi : 3.14159265358973094350858445978
rank 5 pi : 3.14159265358973094350858445978
rank 35 pi : 3.14159265358973094350858445978
rank 34 pi : 3.14159265358973094350858445978
rank 45 pi : 3.14159265358973094350858445978
rank 6 pi : 3.14159265358973094350858445978
rank 4 pi : 3.14159265358973094350858445978
rank 44 pi : 3.14159265358973094350858445978
rank 46 pi : 3.14159265358973094350858445978
rank 47 pi : 3.14159265358973094350858445978
rank 32 pi : 3.14159265358973094350858445978
rank 40 pi : 3.14159265358973094350858445978
rank 14 pi : 3.14159265358973094350858445978
rank 0 pi : 3.14159265358973094350858445978
3.14159265358973138759779430984
rank 8 pi : 3.14159265358973094350858445978
rank 12 pi : 3.14159265358973094350858445978
